2.1316 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
133.3114 	EXP 	grating: autoDraw = True
133.3114 	EXP 	grating: tex = 'sin'
133.6113 	EXP 	grating: autoDraw = False
133.6490 	EXP 	window1: recordFrameIntervals = False
133.6519 	DATA 	Keypress: left
133.6613 	EXP 	fixation: autoDraw = False
133.6613 	EXP 	grating: autoDraw = False
133.6617 	EXP 	window1: recordFrameIntervals = False
134.6401 	EXP 	fixation: autoDraw = True
135.4303 	DATA 	Mouse: Left button down, pos=(473,12)
135.4307 	DATA 	Mouse:  Left button up, pos=(473,12)
135.6444 	EXP 	fixation: autoDraw = False
135.6614 	EXP 	grating: autoDraw = True
135.6614 	EXP 	grating: tex = 'sin'
135.9613 	EXP 	grating: autoDraw = False
136.3155 	EXP 	window1: recordFrameIntervals = False
136.3184 	DATA 	Keypress: left
136.3279 	EXP 	fixation: autoDraw = False
136.3279 	EXP 	grating: autoDraw = False
136.3283 	EXP 	window1: recordFrameIntervals = False
137.3062 	EXP 	fixation: autoDraw = True
138.3113 	EXP 	fixation: autoDraw = False
138.3280 	EXP 	grating: autoDraw = True
138.3280 	EXP 	grating: tex = 'sin'
138.6278 	EXP 	grating: autoDraw = False
138.9657 	EXP 	window1: recordFrameIntervals = False
138.9684 	DATA 	Keypress: right
138.9780 	EXP 	fixation: autoDraw = False
138.9780 	EXP 	grating: autoDraw = False
138.9784 	EXP 	window1: recordFrameIntervals = False
139.9569 	EXP 	fixation: autoDraw = True
140.9612 	EXP 	fixation: autoDraw = False
140.9780 	EXP 	grating: autoDraw = True
140.9780 	EXP 	grating: tex = 'sin'
141.2778 	EXP 	grating: autoDraw = False
141.4654 	EXP 	window1: recordFrameIntervals = False
141.4684 	DATA 	Keypress: left
141.4778 	EXP 	fixation: autoDraw = False
141.4778 	EXP 	grating: autoDraw = False
141.4781 	EXP 	window1: recordFrameIntervals = False
142.2518 	DATA 	Keypress: right
142.4571 	EXP 	fixation: autoDraw = True
143.4611 	EXP 	fixation: autoDraw = False
143.4779 	EXP 	grating: autoDraw = True
143.4779 	EXP 	grating: tex = 'sin'
143.7776 	EXP 	grating: autoDraw = False
143.9793 	EXP 	window1: recordFrameIntervals = False
143.9806 	DATA 	Keypress: left
143.9943 	EXP 	fixation: autoDraw = False
143.9943 	EXP 	grating: autoDraw = False
143.9945 	EXP 	window1: recordFrameIntervals = False
